- 66.249.66.200 - - [23/Mar/2026:00:00:21 -0300] "GET /fotos_veiculos/46/HB20-1.6-COPA--AUT.-2019-1128233.jpg HTTP/1.1" 200 57039 "-" "Googlebot-Image/1.0"
- 66.249.66.5 - - [23/Mar/2026:00:01:46 -0300] "GET /fotos_veiculos/46/HB20-1.6-COPA--AUT.-2019-1128232.jpg HTTP/1.1" 200 58855 "-" "Googlebot-Image/1.0"
- 179.222.188.94 - - [23/Mar/2026:00:03:04 -0300] "GET /fotos_veiculos/101/TRACKER-PREMIER-1.4-TURBO-2018-0215010.jpg HTTP/1.1" 200 68225 "https://www.europaveiculositupeva.com.br/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
- 179.222.188.94 - - [23/Mar/2026:00:03:04 -0300] "GET /frente_loja_empresas/101/Europa-Ve%C3%ADculos-093911.jpeg HTTP/1.1" 200 52199 "https://www.europaveiculositupeva.com.br/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
- 179.222.188.94 - - [23/Mar/2026:00:03:04 -0300] "GET /fotos_veiculos/101/ASTRA-GLS-1999-0211110.jpg HTTP/1.1" 200 46958 "https://www.europaveiculositupeva.com.br/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
- 179.222.188.94 - - [23/Mar/2026:00:03:04 -0300] "GET /fotos_veiculos/101/PARATI-CL-1.8-MI-1996-0441570.jpg HTTP/1.1" 200 43244 "https://www.europaveiculositupeva.com.br/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
- 179.222.188.94 - - [23/Mar/2026:00:03:04 -0300] "GET /fotos_veiculos/101/SANDERO-STEPWAY-1.6-AUT-2013-0203270.jpg HTTP/1.1" 200 40978 "https://www.europaveiculositupeva.com.br/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
- 179.222.188.94 - - [23/Mar/2026:00:03:04 -0300] "GET /fotos_veiculos/101/IDEAL-ADV-1.8-DUALOGIC-2013-0438330.jpg HTTP/1.1" 200 45405 "https://www.europaveiculositupeva.com.br/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
- 179.222.188.94 - - [23/Mar/2026:00:03:05 -0300] "GET /logo_empresas/101/Europa-Ve%C3%ADculos.jpeg HTTP/1.1" 200 31642 "https://www.europaveiculositupeva.com.br/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
- 66.249.66.165 - - [23/Mar/2026:00:03:12 -0300] "GET /fotos_veiculos/46/HB20-1.6-COPA--AUT.-2019-1128231.jpg HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
- 179.222.188.94 - - [23/Mar/2026:00:03:16 -0300] "GET /fotos_veiculos/101/PARATI-CL-1.8-MI-1996-0442240.jpg HTTP/1.1" 200 40932 "https://www.europaveiculositupeva.com.br/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
- 179.222.188.94 - - [23/Mar/2026:00:03:16 -0300] "GET /fotos_veiculos/101/PARATI-CL-1.8-MI-1996-0442241.jpg HTTP/1.1" 200 44758 "https://www.europaveiculositupeva.com.br/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
- 179.222.188.94 - - [23/Mar/2026:00:03:37 -0300] "GET /fotos_veiculos/101/GOL-1.6-TREND-G5--4PTS-2010-0432080.jpg HTTP/1.1" 200 50135 "https://www.europaveiculositupeva.com.br/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
- 179.222.188.94 - - [23/Mar/2026:00:03:41 -0300] "GET /fotos_veiculos/101/GOL-1.6-TREND-G5--4PTS-2010-0432320.jpg HTTP/1.1" 200 53341 "https://www.europaveiculositupeva.com.br/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
- 179.222.188.94 - - [23/Mar/2026:00:03:41 -0300] "GET /fotos_veiculos/101/GOL-1.6-TREND-G5--4PTS-2010-0432321.jpg HTTP/1.1" 200 33207 "https://www.europaveiculositupeva.com.br/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
